1 input_1v1.asc 1 Missile against 1 target ' Missile ' Jan 10 2025 22:14:03
  0  0 50
time,lconv,vmach,pdynmc,psiblx,thtblx,phiblx,alppx,phipx,alphax,betax,ppx,qqx,rrx,SBEL1,SBEL2,SBEL3,dvbe,hbe,psivlx,thtvlx,anx,ayx,dts,thrust,gavail,gmax,trcond,dbt,thtpbx,psipbx,all,ann,dtbc,dvtbc,psiobcx,thtobcx,range,azimuthx,elevationx,dpx,dqx,drx,miss,MISS1,MISS2,MISS3,psiptx,thtptx,critmax,
1.45,0,2.58962,257034,3.31505,-19.9557,-2.18958,6.39556,-171.534,-6.32643,-0.939674,1.43187,-10.8395,1.84189,756.109,14.0909,-4902.35,831.547,4902.35,2.09958,-13.6639,-6.06001,0.971482,9855.2,34970.7,43.7924,50,0,9356.7,0,0,0,0,9357.05,1065.84,-0.102642,1.88971,9356.7,3.06522,-18.0719,0.108306,0.200001,-0.0880171,0,0,0,0,0,0,200,
1.5,0,2.65633,270810,3.35331,-20.3774,-2.28274,6.40422,-171.948,-6.3416,-0.895224,-2.4408,-4.79149,-0.485438,796.968,15.6158,-4892.26,853.065,4892.26,2.17325,-14.0766,-6.50336,0.906237,9842.96,34832.4,43.4717,50,0,9302.85,0,0,0,0,9303.21,1087.65,-0.112129,2.26948,9302.85,3.06917,-18.1148,0.142142,-0.0744093,-0.250154,0,0,0,0,0,0,200,
1.55,0,2.72303,284984,3.38206,-20.5442,-2.27673,6.17649,-171.898,-6.11531,-0.868839,3.2424,-3.8386,1.76752,838.794,17.2259,-4881.6,874.593,4881.6,2.23405,-14.4691,-6.11849,0.843566,9830.72,34694.1,43.6574,50,0,9247.9,0,0,0,0,9248.28,1109.44,-0.126159,2.3949,9247.9,3.07278,-18.1568,0.119698,0.405325,-0.285531,0,0,0,0,0,0,200,
1.6,0,2.78973,299563,3.5201,-20.841,-2.16719,6.11461,-171.026,-6.04033,-0.951982,1.5451,-7.74058,2.23948,881.589,18.9189,-4870.4,896.133,4870.4,2.29882,-14.8374,-6.30684,1.03438,9818.49,34555.7,43.5279,50,0,9191.87,0,0,0,0,9192.27,1131.2,-0.243893,2.6546,9191.87,3.07608,-18.1979,0.104066,0.212227,-0.107661,0,0,0,0,0,0,200,
1.65,0,2.8563,314521,3.60876,-21.1833,-2.2171,6.08696,-170.868,-6.01039,-0.964242,-1.36705,-5.09597,0.648363,925.347,20.7031,-4858.65,917.643,4858.65,2.37045,-15.2134,-6.59254,1.06841,9806.25,34416.7,43.318,50,0,9134.75,0,0,0,0,9135.16,1152.93,-0.30582,2.9594,9134.75,3.079,-18.2382,0.119852,0.0347257,-0.147561,0,0,0,0,0,0,200,
1.7,0,2.9228,329875,3.66134,-21.3849,-2.24956,5.92619,-170.748,-5.84963,-0.951135,0.887617,-4.01258,1.2886,970.061,22.5803,-4846.32,939.142,4846.32,2.43655,-15.5766,-6.44619,1.04855,9794.01,34277.5,43.3532,50,0,9076.54,0,0,0,0,9076.98,1174.62,-0.339528,3.12332,9076.54,3.08151,-18.2774,0.112182,0.271745,-0.18164,0,0,0,0,0,0,200,
1.75,0,2.98921,345628,3.74217,-21.6052,-2.26694,5.80038,-170.403,-5.71975,-0.965379,-0.833865,-4.33765,1.02792,1015.73,24.5504,-4833.43,960.628,4833.43,2.5044,-15.927,-6.60487,1.14045,9781.78,34138.2,43.2338,50,0,9017.25,0,0,0,0,9017.7,1196.27,-0.400167,3.3079,9017.25,3.08362,-18.3156,0.1105,0.160718,-0.114376,0,0,0,0,0,0,200,
1.8,0,3.05551,361776,3.78508,-21.7767,-2.34434,5.62718,-170.379,-5.54852,-0.939022,-1.20262,-2.59063,0.444672,1062.35,26.6174,-4819.96,982.091,4819.96,2.57254,-16.2717,-6.64354,1.13382,9769.55,33998.9,43.1826,50,0,8956.88,0,0,0,0,8957.35,1217.88,-0.42307,3.44399,8956.88,3.08529,-18.3528,0.115449,0.182117,-0.147992,0,0,0,0,0,0,200,
1.85,0,3.12172,378328,3.81605,-21.8862,-2.401,5.40368,-170.314,-5.32709,-0.907893,-0.664523,-1.92059,0.517645,1109.91,28.7817,-4805.91,1003.54,4805.91,2.63771,-16.6028,-6.59639,1.13575,9757.31,33859.5,43.2115,50,0,8895.43,0,0,0,0,8895.92,1239.44,-0.438277,3.51859,8895.43,3.0865,-18.3889,0.112712,0.209898,-0.14178,0,0,0,0,0,0,200,
1.9,0,3.18783,395288,3.84417,-21.9669,-2.44064,5.16533,-170.196,-5.09029,-0.878415,-0.486631,-1.29137,0.361225,1158.41,31.0435,-4791.29,1024.97,4791.29,2.70145,-16.9202,-6.52324,1.13862,9745.08,33713.3,43.2839,50,0,8832.9,0,0,0,0,8833.41,1260.97,-0.453041,3.56545,8832.9,3.08724,-18.4238,0.110668,0.203016,-0.131767,0,0,0,0,0,0,200,
1.95,0,3.25378,412643,3.86244,-22.0152,-2.4587,4.90761,-170.078,-4.83456,-0.84461,0.248517,-0.596467,0.220693,1207.86,33.4035,-4776.08,1046.37,4776.08,2.76306,-17.2235,-6.45445,1.13956,9732.85,33554.1,43.3531,50,0,8769.3,0,0,0,0,8769.82,1282.43,-0.46126,3.5805,8769.3,3.08749,-18.4576,0.106849,0.193214,-0.126458,0,0,0,0,0,0,200,
2,0,3.31952,430387,3.86841,-22.0191,-2.42007,4.61855,-169.922,-4.54758,-0.807375,1.42221,0.45581,-0.0147638,1258.24,35.8615,-4760.3,1067.71,4760.3,2.8225,-17.5129,-6.31351,1.13212,9720.63,33394.8,43.4905,50,0,8704.62,0,0,0,0,8705.16,1303.83,-0.463354,3.55141,8704.62,3.08725,-18.4903,0.0985127,0.193142,-0.121074,0,0,0,0,0,0,200,
2.05,0,3.38507,448523,3.86257,-21.9827,-2.31985,4.30499,-169.725,-4.23621,-0.767175,2.52141,0.898854,-0.11721,1309.56,38.417,-4743.95,1089.01,4743.95,2.87873,-17.7847,-6.08248,1.11106,9708.4,33235.5,43.71,50,0,8638.88,0,0,0,0,8639.44,1325.15,-0.459749,3.48231,8638.88,3.08651,-18.5218,0.0882669,0.207197,-0.117846,0,0,0,0,0,0,200,
2.1,0,3.45041,467048,3.85385,-21.9384,-2.16948,4.00107,-169.484,-3.93409,-0.729663,3.32641,0.822681,-0.130959,1361.81,41.0689,-4727.04,1110.26,4727.04,2.93151,-18.0382,-5.82501,1.08942,9696.17,33076.1,43.9652,50,0,8572.08,0,0,0,0,8572.65,1346.41,-0.45661,3.40586,8572.08,3.08525,-18.5523,0.0771729,0.204188,-0.108763,0,0,0,0,0,0,200,
2.15,0,3.5155,485959,3.84636,-21.9072,-1.98896,3.72753,-169.232,-3.66207,-0.69597,3.73604,0.343214,-0.0851885,1414.99,43.8156,-4709.58,1131.44,4709.58,2.98096,-18.2745,-5.56897,1.06652,9683.95,32916.7,44.221,50,0,8504.22,0,0,0,0,8504.8,1367.58,-0.455684,3.34352,8504.22,3.08349,-18.5817,0.0666239,0.198119,-0.0998386,0,0,0,0,0,0,200,
2.2,0,3.5803,505242,3.84452,-21.9079,-1.79919,3.50143,-168.994,-3.43718,-0.668079,3.76652,-0.408172,0.0242644,1469.1,46.6556,-4691.57,1152.55,4691.57,3.02734,-18.4956,-5.36126,1.04959,9671.73,32717.4,44.4369,50,0,8435.3,0,0,0,0,8435.89,1388.67,-0.459419,3.31411,8435.3,3.08121,-18.6101,0.057295,0.177806,-0.0885777,0,0,0,0,0,0,200,
2.25,0,3.64474,524880,3.8489,-21.9426,-1.62393,3.32173,-168.799,-3.25859,-0.644931,2.97754,-0.878137,0.063567,1524.13,49.5877,-4673.02,1173.56,4673.02,3.07145,-18.7052,-5.25536,1.04805,9659.5,32516.5,44.5527,50,0,8365.32,0,0,0,0,8365.94,1409.64,-0.467227,3.31993,8365.32,3.07841,-18.6375,0.0502211,0.153338,-0.0776166,0,0,0,0,0,0,200,
2.3,0,3.70879,544862,3.8537,-21.9898,-1.51136,3.16387,-168.708,-3.10275,-0.619187,1.74234,-1.10755,0.122073,1580.09,52.6113,-4653.93,1194.46,4653.93,3.11355,-18.9059,-5.13892,1.0286,9647.28,32315.4,44.6605,50,0,8294.31,0,0,0,0,8294.93,1430.5,-0.471639,3.33987,8294.31,3.07507,-18.6639,0.0484009,0.162276,-0.0796975,0,0,0,0,0,0,200,
2.35,0,3.77242,565183,3.87005,-22.0601,-1.44016,3.03978,-168.558,-2.97947,-0.60277,1.36041,-1.72977,0.411534,1636.97,55.725,-4634.32,1215.24,4634.32,3.15342,-19.0974,-5.04952,1.02489,9635.07,32114.3,44.751,50,0,8222.25,0,0,0,0,8222.89,1451.23,-0.484241,3.38435,8222.25,3.0712,-18.6893,0.0457938,0.152326,-0.0691299,0,0,0,0,0,0,200,
2.4,0,3.83562,585833,3.89678,-22.1526,-1.39198,2.94617,-168.345,-2.88553,-0.594908,1.00693,-1.88,0.423062,1694.75,58.9285,-4614.17,1235.9,4614.17,3.19272,-19.2828,-5.04481,1.04757,9622.85,31913.2,44.7634,50,0,8149.17,0,0,0,0,8149.81,1471.83,-0.505031,3.45248,8149.17,3.06677,-18.7137,0.0437592,0.13011,-0.0560569,0,0,0,0,0,0,200,
